"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
134,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",84,"Ferkessedougou",134,"Koumbala","",NA,"","Sous-préfecture","Sub-prefecture"
135,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",85,"Kong",135,"Kong","",NA,"","Sous-préfecture","Sub-prefecture"
136,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",86,"Ouangolodougou",136,"Diawala","",NA,"","Sous-préfecture","Sub-prefecture"
137,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",86,"Ouangolodougou",137,"Nielle","",NA,"","Sous-préfecture","Sub-prefecture"
138,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",86,"Ouangolodougou",138,"Ouangolodougou","",NA,"","Sous-préfecture","Sub-prefecture"
139,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",87,"Béoumi",139,"Beoumi","",NA,"","Sous-préfecture","Sub-prefecture"
140,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",87,"Béoumi",140,"Bodokro","",NA,"","Sous-préfecture","Sub-prefecture"
141,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",88,"Botro",141,"Botro","",NA,"","Sous-préfecture","Sub-prefecture"
142,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",89,"Bouaké",142,"Bouake","",NA,"","Sous-préfecture","Sub-prefecture"
143,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",89,"Bouaké",143,"Brobo","",NA,"","Sous-préfecture","Sub-prefecture"
144,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",89,"Bouaké",144,"Djebonoua","",NA,"","Sous-préfecture","Sub-prefecture"
145,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",90,"Diabo",145,"Diabo","",NA,"","Sous-préfecture","Sub-prefecture"
146,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",26,"Gbeke",91,"Sakassou",146,"Sakassou","",NA,"","Sous-préfecture","Sub-prefecture"
147,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",147,"Bassawa","",NA,"","Sous-préfecture","Sub-prefecture"
148,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",148,"Bonieredougou","",NA,"","Sous-préfecture","Sub-prefecture"
149,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",149,"Dabakala","",NA,"","Sous-préfecture","Sub-prefecture"
150,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",150,"Foumbolo","",NA,"","Sous-préfecture","Sub-prefecture"
151,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",151,"Santama-Sokoro","",NA,"","Sous-préfecture","Sub-prefecture"
152,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",92,"Dabakala",152,"Satama-Sokoura","",NA,"","Sous-préfecture","Sub-prefecture"
153,57,"CIV","Côte d'Ivoire",11,"Vallée du Bandama",27,"Hambol",93,"Katiola",153,"Fronan","",NA,"","Sous-préfecture","Sub-prefecture"
